load,APLB_latency,OSPF_latency,BGP_latency,APLB_power_dbm,APLB_signal_quality,OSPF_power_dbm,OSPF_signal_quality,BGP_power_dbm,BGP_signal_quality
1.0,1.07,1.045,1.065,5.988,0.956,5.782,0.914,5.378,0.88
3.05,1.104,1.139,1.212,5.963,0.946,5.745,0.9,5.333,0.864
5.11,1.154,1.238,1.376,5.939,0.935,5.708,0.887,5.288,0.848
7.16,1.203,1.341,1.553,5.914,0.925,5.671,0.874,5.243,0.831
9.21,1.25,1.446,1.741,5.889,0.914,5.634,0.86,5.197,0.815
11.26,1.297,1.553,1.938,5.865,0.903,5.597,0.847,5.152,0.798
13.32,1.343,1.663,2.144,5.84,0.893,5.56,0.833,5.107,0.781
15.37,1.389,1.775,2.356,5.816,0.882,5.523,0.82,5.062,0.764
17.42,1.434,1.888,2.576,5.791,0.871,5.486,0.807,5.017,0.747
19.47,1.478,2.003,2.802,5.766,0.861,5.449,0.793,4.972,0.73
21.53,1.523,2.119,3.033,5.742,0.85,5.413,0.78,4.926,0.713
23.58,1.567,2.237,3.27,5.717,0.84,5.376,0.766,4.881,0.696
25.63,1.612,2.355,3.512,5.692,0.829,5.339,0.753,4.836,0.678
27.68,1.656,2.475,3.759,5.668,0.818,5.302,0.739,4.791,0.661
29.74,1.7,2.596,4.01,5.643,0.808,5.265,0.726,4.746,0.644
31.79,1.743,2.718,4.266,5.619,0.797,5.228,0.712,4.701,0.626
33.84,1.787,2.841,4.526,5.594,0.786,5.191,0.699,4.655,0.609
35.89,1.831,2.965,4.79,5.569,0.776,5.154,0.685,4.61,0.591
37.95,1.874,3.09,5.057,5.545,0.765,5.117,0.671,4.565,0.574
40.0,1.918,3.216,5.329,5.52,0.755,5.08,0.658,4.52,0.556
